function_name,,GSO,GSOL_WOA,GSO_WOA,HGEW,LWOA
C1,mean,475,100,105,100,101
C1,std,468,0.487,5.74,0.467,0.931
C1,rank,5,2,4,1,3
C2,mean,1360,204,254,203,210
C2,std,519,4.67,56.3,4.36,17.9
C2,rank,5,2,4,1,3
C3,mean,300,301,303,300,301
C3,std,0.00167,0.574,2.59,0.146,1.22
C3,rank,1,3,5,2,4
C4,mean,401,400,400,400,400
C4,std,2.31,3.17E-06,1.66E-06,6.12E-07,1.4E-06
C4,rank,5,4,3,1,2
C5,mean,517,500,500,500,500
C5,std,5.22,0.000698,0.00214,0.000612,0.000865
C5,rank,5,2,4,1,3
C6,mean,600,600,600,600,600
C6,std,1.83E-06,1.11E-08,1.45E-07,1.83E-08,1.74E-08
C6,rank,5,1,4,3,2
C7,mean,700,700,700,700,700
C7,std,0.00858,4.51E-05,0.000138,1.06E-05,1.48E-05
C7,rank,5,3,4,1,3
C8,mean,830,800,800,800,800
C8,std,5.21,3.88E-06,2.78E-05,1.26E-06,5.77E-06
C8,rank,5,2,4,1,3
C9,mean,930,900,900,900,900
C9,std,6.68,9.19E-06,4.37E-05,3E-06,1.18E-05
C9,rank,5,2,4,1,3
C10,mean,2540,1000,1000,1000,1000
C10,std,726,0.0651,0.00126,0.0655,0.00535
C10,rank,5,3,1,4,2
C11,mean,2980,1100,1100,1100,1100
C11,std,1110,0.0158,0.112,0.0135,8.23E-05
C11,rank,5,3,4,2,1
C12,mean,1200,1200,1200,1200,1200
C12,std,0.137,9.02E-05,6.43E-05,0.000124,0.000272
C12,rank,5,2,1,3,4
C13,mean,1300,1300,1300,1300,1300
C13,std,0.0833,0.108,0.139,0.149,0.2
C13,rank,1,2,3,4,5
C14,mean,1400,1400,1400,1400,1400
C14,std,0.176,0.202,0.155,0.201,0.204
C14,rank,2,4,1,3,5
C15,mean,1520,1500,1500,1500,1500
C15,std,6.51,6.36E-12,2.64E-11,1.35E-12,3.41E-13
C15,rank,5,3,4,2,1
C16,mean,1600,1600,1600,1600,1600
C16,std,0.624,5.81E-06,8.22E-06,2.06E-06,5.23E-06
C16,rank,5,3,4,1,2
C17,mean,2180,1700,1710,1700,1700
C17,std,128,1.01,11.4,0.25,0.385
C17,rank,5,3,4,1,2
C18,mean,2680,1810,1860,1810,1800
C18,std,230,12.6,68.3,28.4,4.37
C18,rank,5,2,4,3,1
C19,mean,1920,1910,1910,1910,1910
C19,std,15.1,3.2,3.13,2.89,0.167
C19,rank,5,4,3,2,1
C20,mean,2350,2010,2050,2010,2010
C20,std,139,7.86,29.8,5.45,1.07
C20,rank,5,3,4,2,1
C21,mean,2150,2110,2110,2110,2110
C21,std,55.6,0.27,4.76,0.544,0.519
C21,rank,5,1,4,3,2
C22,mean,2240,2200,2210,2200,2210
C22,std,14.7,0.544,1.28,0.826,0.333
C22,rank,5,2,4,3,1
C23,mean,2310,2300,2300,2300,2300
C23,std,0.678,0.093,0.184,0.0234,0.00256
C23,rank,5,3,4,2,1
C24,mean,2960,2400,2400,2400,2400
C24,std,222,0.0483,0.147,0.0411,0.00918
C24,rank,5,3,4,2,1
C25,mean,2760,2500,2500,2500,2500
C25,std,12.3,0.0798,0.254,0.035,0.0214
C25,rank,5,3,4,2,1
C26,mean,2900,2600,2600,2600,2600
C26,std,38.9,0.118,0.361,0.0288,0.0475
C26,rank,5,3,4,1,2
C27,mean,3230,2710,2710,2710,2710
C27,std,48.7,0.111,0.0477,0.0369,0.00193
C27,rank,5,4,3,2,1
C28,mean,7160,2800,2800,2800,2800
C28,std,433,0.0218,0.241,0.00424,0.041
C28,rank,5,2,4,1,3
C29,mean,3160,2990,2990,2990,2990
C29,std,65.8,0.0096,5.65,0.193,1.27
C29,rank,5,1,4,2,3
C30,mean,42000,3010,3010,3010,3010
C30,std,38800,4.85,5.08,0.286,0.00932
C30,rank,5,3,4,2,1
